flight_id,year,month,day,date,dep_hour,dep_minute,carrier,airline_name,airline_type,flight_number,origin,dest,distance_mi,flight_type,cancelled,diverted,dep_delay_min,arr_delay_min,is_delayed,delay_cause,flight_time_min,taxi_out_min,taxi_in_min,gate_turnaround_min,wheels_off,wheels_on
30,2022,1,1,2022-01-01,5,0,AA,American Airlines,Legacy,AA9067,IAH,DFW,239,Domestic,0,0,15.0,22.0,1,late_aircraft,39.0,8.0,8.0,39.0,323.0,362.0
31,2022,1,29,2022-01-29,11,15,AA,American Airlines,Legacy,AA7264,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,44.0,15.0,7.0,38.0,690.0,734.0
32,2022,1,25,2022-01-25,7,15,AA,American Airlines,Legacy,AA3540,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,40.0,10.0,11.0,47.0,445.0,485.0
33,2022,1,23,2022-01-23,14,30,TG,Thai Airways,Full Service,TG5046,IAH,DFW,239,Domestic,0,0,68.0,79.0,1,carrier,39.0,25.0,8.0,48.0,963.0,1002.0
34,2022,1,26,2022-01-26,16,45,AA,American Airlines,Legacy,AA4829,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,27.0,5.0,44.0,1032.0,1077.0
35,2022,1,5,2022-01-05,6,30,AA,American Airlines,Legacy,AA1291,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,12.0,7.0,59.0,402.0,444.0
36,2022,1,10,2022-01-10,10,15,AA,American Airlines,Legacy,AA6688,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,34.0,9.0,5.0,42.0,624.0,658.0
37,2022,1,12,2022-01-12,8,30,AA,American Airlines,Legacy,AA9186,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,49.0,5.0,10.0,54.0,515.0,564.0
38,2022,1,9,2022-01-09,8,0,AA,American Airlines,Legacy,AA6416,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,9.0,12.0,41.0,489.0,531.0
39,2022,1,29,2022-01-29,16,0,AA,American Airlines,Legacy,AA8153,IAH,DFW,239,Domestic,0,0,15.0,24.0,1,nas,49.0,29.0,14.0,35.0,1004.0,1053.0
40,2022,1,3,2022-01-03,17,30,AA,American Airlines,Legacy,AA3819,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,52.0,18.0,5.0,37.0,1068.0,1120.0
41,2022,1,26,2022-01-26,19,45,AA,American Airlines,Legacy,AA4904,IAH,DFW,239,Domestic,0,0,27.0,41.0,1,weather,34.0,32.0,7.0,52.0,1244.0,1278.0
42,2022,1,15,2022-01-15,6,15,B6,JetBlue Airways,LCC,B67366,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,33.0,17.0,7.0,59.0,392.0,425.0
43,2022,1,31,2022-01-31,5,0,AA,American Airlines,Legacy,AA6700,IAH,DFW,239,Domestic,0,0,21.0,20.0,1,late_aircraft,46.0,15.0,3.0,37.0,336.0,382.0
44,2022,1,14,2022-01-14,5,30,AA,American Airlines,Legacy,AA4463,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,11.0,11.0,43.0,341.0,382.0
45,2022,1,1,2022-01-01,13,0,AA,American Airlines,Legacy,AA7041,IAH,DFW,239,Domestic,0,0,83.0,91.0,1,weather,37.0,23.0,11.0,23.0,886.0,923.0
46,2022,1,15,2022-01-15,20,30,AA,American Airlines,Legacy,AA237,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,12.0,10.0,52.0,1242.0,1284.0
47,2022,1,24,2022-01-24,18,15,LX,Swiss International,Full Service,LX860,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,47.0,14.0,7.0,44.0,1109.0,1156.0
48,2022,1,23,2022-01-23,17,30,AA,American Airlines,Legacy,AA6877,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,21.0,9.0,45.0,1071.0,1117.0
49,2022,1,19,2022-01-19,20,0,AA,American Airlines,Legacy,AA7340,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,19.0,6.0,30.0,1219.0,1260.0
50,2022,1,26,2022-01-26,16,0,AA,American Airlines,Legacy,AA155,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,18.0,8.0,48.0,978.0,1020.0
51,2022,1,22,2022-01-22,15,15,BA,British Airways,Full Service,BA5970,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,16.0,8.0,56.0,931.0,977.0
52,2022,1,28,2022-01-28,14,15,AA,American Airlines,Legacy,AA7741,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,40.0,19.0,4.0,37.0,874.0,914.0
53,2022,1,30,2022-01-30,13,0,LX,Swiss International,Full Service,LX6991,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,54.0,16.0,9.0,64.0,796.0,850.0
54,2022,1,19,2022-01-19,11,0,AA,American Airlines,Legacy,AA7086,IAH,DFW,239,Domestic,0,0,17.0,36.0,1,weather,40.0,15.0,6.0,37.0,692.0,732.0
55,2022,1,30,2022-01-30,10,30,AA,American Airlines,Legacy,AA5660,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,20.0,7.0,50.0,650.0,692.0
56,2022,1,2,2022-01-02,16,30,AA,American Airlines,Legacy,AA2148,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,11.0,3.0,45.0,1001.0,1039.0
57,2022,1,26,2022-01-26,15,45,AA,American Airlines,Legacy,AA9965,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,33.0,31.0,14.0,21.0,976.0,1009.0
58,2022,1,12,2022-01-12,6,0,AA,American Airlines,Legacy,AA9410,IAH,DFW,239,Domestic,0,1,0.0,0.0,0,,41.0,9.0,11.0,50.0,369.0,410.0
59,2022,1,17,2022-01-17,7,15,AA,American Airlines,Legacy,AA6051,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,8.0,8.0,49.0,443.0,482.0
60,2022,1,29,2022-01-29,9,30,BA,British Airways,Full Service,BA7043,IAH,DFW,239,Domestic,0,0,24.0,22.0,1,carrier,45.0,8.0,6.0,67.0,602.0,647.0
61,2022,1,19,2022-01-19,8,0,AA,American Airlines,Legacy,AA2070,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,5.0,8.0,54.0,485.0,531.0
62,2022,1,6,2022-01-06,8,30,AA,American Airlines,Legacy,AA1220,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,20.0,8.0,47.0,530.0,575.0
63,2022,1,29,2022-01-29,7,30,AA,American Airlines,Legacy,AA2471,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,40.0,15.0,11.0,39.0,465.0,505.0
64,2022,1,12,2022-01-12,14,15,AA,American Airlines,Legacy,AA6266,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,47.0,21.0,7.0,48.0,876.0,923.0
65,2022,1,15,2022-01-15,15,30,AA,American Airlines,Legacy,AA6059,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,28.0,9.0,47.0,958.0,1000.0
66,2022,1,31,2022-01-31,11,0,AA,American Airlines,Legacy,AA5131,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,36.0,15.0,8.0,58.0,675.0,711.0
67,2022,1,15,2022-01-15,22,30,AA,American Airlines,Legacy,AA8677,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,36.0,14.0,10.0,45.0,1364.0,1400.0
68,2022,1,7,2022-01-07,19,30,AA,American Airlines,Legacy,AA6075,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,40.0,24.0,3.0,44.0,1194.0,1234.0
69,2022,1,1,2022-01-01,18,0,AA,American Airlines,Legacy,AA6804,IAH,DFW,239,Domestic,1,0,,,0,,,,,,,
70,2022,1,7,2022-01-07,5,45,AA,American Airlines,Legacy,AA7286,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,10.0,7.0,38.0,355.0,393.0
71,2022,1,18,2022-01-18,5,15,AA,American Airlines,Legacy,AA8138,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,49.0,12.0,7.0,36.0,327.0,376.0
72,2022,1,3,2022-01-03,11,15,LA,LATAM Airlines,Full Service,LA8619,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,21.0,10.0,31.0,696.0,742.0
73,2022,1,22,2022-01-22,16,0,AA,American Airlines,Legacy,AA4647,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,17.0,8.0,48.0,977.0,1022.0
74,2022,1,20,2022-01-20,7,15,AA,American Airlines,Legacy,AA1509,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,33.0,18.0,4.0,35.0,453.0,486.0
75,2022,1,3,2022-01-03,13,45,AA,American Airlines,Legacy,AA2779,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,19.0,6.0,49.0,844.0,886.0
76,2022,1,27,2022-01-27,15,30,IB,Iberia,Full Service,IB2641,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,33.0,9.0,30.0,963.0,1000.0
77,2022,1,4,2022-01-04,14,15,AA,American Airlines,Legacy,AA1722,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,33.0,22.0,14.0,53.0,877.0,910.0
78,2022,1,21,2022-01-21,11,15,AA,American Airlines,Legacy,AA3729,IAH,DFW,239,Domestic,0,0,21.0,22.0,1,nas,47.0,17.0,12.0,39.0,713.0,760.0
79,2022,1,2,2022-01-02,12,0,AA,American Airlines,Legacy,AA9542,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,12.0,5.0,57.0,732.0,769.0
80,2022,1,22,2022-01-22,6,30,AA,American Airlines,Legacy,AA2220,IAH,DFW,239,Domestic,0,0,15.0,12.0,1,carrier,43.0,13.0,6.0,72.0,418.0,461.0
81,2022,1,9,2022-01-09,9,0,AA,American Airlines,Legacy,AA4207,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,13.0,8.0,68.0,553.0,599.0
82,2022,1,30,2022-01-30,17,45,MH,Malaysia Airlines,Full Service,MH4973,IAH,DFW,239,Domestic,0,0,15.0,34.0,1,late_aircraft,48.0,30.0,8.0,40.0,1110.0,1158.0
83,2022,1,16,2022-01-16,8,0,AA,American Airlines,Legacy,AA5185,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,36.0,16.0,7.0,53.0,496.0,532.0
84,2022,1,20,2022-01-20,8,30,AA,American Airlines,Legacy,AA8330,IAH,DFW,239,Domestic,0,0,15.0,11.0,1,carrier,42.0,16.0,3.0,29.0,541.0,583.0
85,2022,1,15,2022-01-15,18,45,NH,ANA All Nippon Airways,Full Service,NH4446,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,40.0,29.0,8.0,44.0,1154.0,1194.0
86,2022,1,23,2022-01-23,14,0,AA,American Airlines,Legacy,AA7169,IAH,DFW,239,Domestic,0,0,15.0,30.0,1,carrier,54.0,16.0,5.0,26.0,871.0,925.0
87,2022,1,25,2022-01-25,8,45,AA,American Airlines,Legacy,AA7611,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,36.0,8.0,3.0,30.0,533.0,569.0
88,2022,1,4,2022-01-04,13,30,ET,Ethiopian Airlines,Full Service,ET5790,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,23.0,4.0,49.0,833.0,874.0
89,2022,1,8,2022-01-08,21,0,AA,American Airlines,Legacy,AA3945,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,22.0,9.0,37.0,1282.0,1321.0
90,2022,1,5,2022-01-05,7,15,EK,Emirates,Full Service,EK4775,IAH,DFW,239,Domestic,0,0,49.0,60.0,1,weather,43.0,11.0,5.0,36.0,495.0,538.0
91,2022,1,14,2022-01-14,7,15,AA,American Airlines,Legacy,AA9275,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,11.0,8.0,47.0,446.0,487.0
92,2022,1,28,2022-01-28,16,15,AA,American Airlines,Legacy,AA2496,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,16.0,3.0,34.0,991.0,1036.0
93,2022,1,19,2022-01-19,6,45,AA,American Airlines,Legacy,AA1804,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,47.0,12.0,6.0,39.0,417.0,464.0
94,2022,1,13,2022-01-13,12,0,AA,American Airlines,Legacy,AA4098,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,20.0,11.0,35.0,740.0,781.0
95,2022,1,18,2022-01-18,7,15,OZ,Asiana Airlines,Full Service,OZ4643,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,5.0,7.0,34.0,440.0,485.0
96,2022,1,24,2022-01-24,14,30,AA,American Airlines,Legacy,AA5184,IAH,DFW,239,Domestic,1,0,,,0,,,,,,,
97,2022,1,22,2022-01-22,7,45,AA,American Airlines,Legacy,AA6453,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,10.0,11.0,26.0,475.0,517.0
98,2022,1,18,2022-01-18,15,45,AA,American Airlines,Legacy,AA9745,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,22.0,6.0,58.0,967.0,1005.0
99,2022,1,2,2022-01-02,7,0,AA,American Airlines,Legacy,AA4216,IAH,DFW,239,Domestic,0,0,35.0,44.0,1,carrier,47.0,17.0,7.0,31.0,472.0,519.0
100,2022,1,15,2022-01-15,17,0,AA,American Airlines,Legacy,AA3156,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,46.0,22.0,5.0,36.0,1042.0,1088.0
101,2022,1,25,2022-01-25,13,15,KL,KLM Royal Dutch,Full Service,KL4573,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,49.0,6.0,9.0,41.0,801.0,850.0
102,2022,1,3,2022-01-03,21,15,AA,American Airlines,Legacy,AA5209,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,43.0,15.0,6.0,39.0,1290.0,1333.0
103,2022,1,21,2022-01-21,22,15,EY,Etihad Airways,Full Service,EY4297,IAH,DFW,239,Domestic,0,0,16.0,25.0,1,nas,33.0,32.0,10.0,50.0,1383.0,1416.0
104,2022,1,9,2022-01-09,9,30,AA,American Airlines,Legacy,AA9005,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,10.0,12.0,55.0,580.0,621.0
105,2022,1,8,2022-01-08,19,45,AA,American Airlines,Legacy,AA3141,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,35.0,9.0,33.0,1220.0,1259.0
106,2022,1,10,2022-01-10,13,0,WN,Southwest Airlines,LCC,WN8542,IAH,DFW,239,Domestic,0,0,15.0,21.0,1,nas,43.0,23.0,6.0,58.0,818.0,861.0
107,2022,1,31,2022-01-31,8,30,DL,Delta Air Lines,Legacy,DL1660,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,50.0,10.0,13.0,57.0,520.0,570.0
108,2022,1,13,2022-01-13,20,15,AA,American Airlines,Legacy,AA8603,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,26.0,4.0,59.0,1241.0,1280.0
109,2022,1,9,2022-01-09,6,45,AA,American Airlines,Legacy,AA1056,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,40.0,6.0,9.0,52.0,411.0,451.0
110,2022,1,24,2022-01-24,21,0,AA,American Airlines,Legacy,AA5731,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,34.0,13.0,39.0,1294.0,1336.0
111,2022,1,4,2022-01-04,6,30,NK,Spirit Airlines,ULCC,NK8004,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,35.0,7.0,11.0,43.0,397.0,432.0
112,2022,1,3,2022-01-03,9,45,QF,Qantas Airways,Full Service,QF1746,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,15.0,5.0,43.0,600.0,638.0
113,2022,1,14,2022-01-14,8,0,AA,American Airlines,Legacy,AA4655,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,47.0,11.0,8.0,43.0,491.0,538.0
114,2022,1,24,2022-01-24,7,0,AA,American Airlines,Legacy,AA6376,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,5.0,5.0,50.0,425.0,463.0
115,2022,1,20,2022-01-20,9,30,LX,Swiss International,Full Service,LX1490,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,49.0,16.0,6.0,66.0,586.0,635.0
116,2022,1,15,2022-01-15,8,45,AA,American Airlines,Legacy,AA9327,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,35.0,14.0,8.0,34.0,539.0,574.0
117,2022,1,10,2022-01-10,21,0,AA,American Airlines,Legacy,AA6394,IAH,DFW,239,Domestic,1,0,,,0,,,,,,,
118,2022,1,30,2022-01-30,14,45,AA,American Airlines,Legacy,AA1298,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,43.0,16.0,11.0,43.0,901.0,944.0
119,2022,1,2,2022-01-02,5,30,QR,Qatar Airways,Full Service,QR3172,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,43.0,14.0,8.0,41.0,344.0,387.0
120,2022,1,19,2022-01-19,17,15,AA,American Airlines,Legacy,AA3330,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,41.0,25.0,8.0,50.0,1060.0,1101.0
121,2022,1,9,2022-01-09,12,45,AA,American Airlines,Legacy,AA554,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,17.0,3.0,34.0,782.0,827.0
122,2022,1,25,2022-01-25,22,30,AA,American Airlines,Legacy,AA7110,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,52.0,35.0,3.0,66.0,1385.0,1437.0
123,2022,1,8,2022-01-08,15,15,AA,American Airlines,Legacy,AA8334,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,29.0,38.0,3.0,25.0,953.0,982.0
124,2022,1,16,2022-01-16,8,15,AA,American Airlines,Legacy,AA240,IAH,DFW,239,Domestic,1,0,,,0,,,,,,,
125,2022,1,22,2022-01-22,20,15,AA,American Airlines,Legacy,AA9973,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,32.0,5.0,46.0,1247.0,1289.0
126,2022,1,2,2022-01-02,18,0,AA,American Airlines,Legacy,AA8205,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,42.0,14.0,6.0,48.0,1094.0,1136.0
127,2022,1,29,2022-01-29,11,45,DL,Delta Air Lines,Legacy,DL3197,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,36.0,16.0,15.0,49.0,721.0,757.0
128,2022,1,9,2022-01-09,16,15,AA,American Airlines,Legacy,AA3783,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,33.0,25.0,11.0,34.0,1000.0,1033.0
129,2022,1,28,2022-01-28,8,15,SK,Scandinavian Airlines,Full Service,SK8953,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,44.0,10.0,6.0,50.0,505.0,549.0
130,2022,1,16,2022-01-16,7,30,AA,American Airlines,Legacy,AA4458,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,13.0,6.0,36.0,463.0,502.0
131,2022,1,21,2022-01-21,19,30,AA,American Airlines,Legacy,AA9482,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,47.0,23.0,3.0,57.0,1193.0,1240.0
132,2022,1,13,2022-01-13,15,45,AA,American Airlines,Legacy,AA4355,IAH,DFW,239,Domestic,0,0,15.0,13.0,1,carrier,48.0,22.0,6.0,47.0,982.0,1030.0
133,2022,1,21,2022-01-21,9,15,AA,American Airlines,Legacy,AA4311,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,34.0,10.0,7.0,46.0,565.0,599.0
134,2022,1,8,2022-01-08,13,15,LH,Lufthansa,Full Service,LH7546,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,34.0,9.0,3.0,39.0,804.0,838.0
135,2022,1,28,2022-01-28,20,45,AA,American Airlines,Legacy,AA4995,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,29.0,10.0,36.0,1274.0,1312.0
136,2022,1,1,2022-01-01,22,45,AA,American Airlines,Legacy,AA2596,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,38.0,18.0,3.0,30.0,1383.0,1421.0
137,2022,1,11,2022-01-11,6,45,AA,American Airlines,Legacy,AA5648,IAH,DFW,239,Domestic,0,0,15.0,14.0,1,security,41.0,5.0,10.0,17.0,425.0,466.0
138,2022,1,3,2022-01-03,11,15,AA,American Airlines,Legacy,AA5756,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,13.0,8.0,51.0,688.0,727.0
139,2022,1,2,2022-01-02,5,45,AA,American Airlines,Legacy,AA2629,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,43.0,12.0,9.0,56.0,357.0,400.0
140,2022,1,8,2022-01-08,22,15,AA,American Airlines,Legacy,AA2819,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,43.0,19.0,10.0,39.0,1354.0,1397.0
141,2022,1,29,2022-01-29,12,15,AA,American Airlines,Legacy,AA5275,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,39.0,16.0,12.0,43.0,751.0,790.0
142,2022,1,15,2022-01-15,10,30,AA,American Airlines,Legacy,AA1738,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,43.0,13.0,8.0,36.0,643.0,686.0
143,2022,1,8,2022-01-08,18,0,AA,American Airlines,Legacy,AA2144,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,36.0,22.0,7.0,56.0,1102.0,1138.0
144,2022,1,3,2022-01-03,8,30,AA,American Airlines,Legacy,AA6456,IAH,DFW,239,Domestic,0,0,15.0,30.0,1,carrier,39.0,13.0,3.0,47.0,538.0,577.0
145,2022,1,26,2022-01-26,19,0,AZ,ITA Airways,Full Service,AZ8061,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,45.0,17.0,3.0,44.0,1157.0,1202.0
146,2022,1,30,2022-01-30,7,15,AA,American Airlines,Legacy,AA4300,IAH,DFW,239,Domestic,0,0,0.0,0.0,0,,37.0,5.0,8.0,47.0,440.0,477.0
